Angle (degrees), Length (km),Mean Size,N uQ > 1, N uQ > 2, N uQ > 5, mean Error+,max Error+
225.000000,50.000000,1307.000000,812.000000,495.000000,129.000000,1.130147,19.000000
228.000000,50.000000,688.000000,808.000000,495.000000,156.000000,1.105829,17.299999
231.000000,50.000000,1409.000000,811.000000,475.000000,148.000000,1.089975,14.300000
234.000000,50.000000,1299.000000,790.000000,444.000000,129.000000,1.056055,20.900000
237.000000,50.000000,1365.000000,821.000000,447.000000,116.000000,1.062646,20.799999
240.000000,50.000000,467.000000,764.000000,396.000000,96.000000,0.981355,19.000000
243.000000,50.000000,656.000000,705.000000,353.000000,85.000000,0.915234,23.400000
246.000000,50.000000,1164.000000,607.000000,333.000000,98.000000,0.923205,22.200001
249.000000,50.000000,587.000000,600.000000,299.000000,81.000000,0.872080,16.600000
252.000000,50.000000,393.666667,564.000000,262.000000,89.000000,0.815615,19.400000
255.000000,50.000000,554.000000,471.000000,215.000000,55.000000,0.700687,12.200000
258.000000,50.000000,516.000000,467.000000,201.000000,49.000000,0.673076,16.000000
261.000000,50.000000,343.000000,487.000000,240.000000,44.000000,0.699443,18.200001
264.000000,50.000000,327.000000,548.000000,227.000000,53.000000,0.729615,14.100000
267.000000,50.000000,510.500000,457.000000,181.000000,39.000000,0.652686,10.700000
270.000000,50.000000,968.000000,446.000000,179.000000,35.000000,0.640290,10.500000
273.000000,50.000000,997.000000,409.000000,158.000000,30.000000,0.605976,10.600000
276.000000,50.000000,507.000000,457.000000,204.000000,38.000000,0.651318,10.100000
279.000000,50.000000,986.000000,490.000000,223.000000,52.000000,0.727789,14.700000
282.000000,50.000000,531.000000,532.000000,245.000000,62.000000,0.767899,16.200001
285.000000,50.000000,1063.000000,537.000000,246.000000,59.000000,0.722269,16.600000
288.000000,50.000000,1098.000000,552.000000,274.000000,52.000000,0.696258,10.900000
291.000000,50.000000,1180.000000,538.000000,250.000000,42.000000,0.653267,10.700000
294.000000,50.000000,1084.000000,538.000000,237.000000,44.000000,0.677958,16.600000
297.000000,50.000000,1139.000000,500.000000,206.000000,49.000000,0.662860,22.600000
300.000000,50.000000,614.000000,467.000000,195.000000,62.000000,0.686490,19.900000
303.000000,50.000000,1087.000000,418.000000,203.000000,58.000000,0.650387,16.100000
306.000000,50.000000,1047.000000,412.000000,205.000000,56.000000,0.638237,18.199999
309.000000,50.000000,498.000000,419.000000,205.000000,52.000000,0.629577,14.700000
312.000000,50.000000,509.500000,469.000000,197.000000,54.000000,0.627176,14.400000
315.000000,50.000000,527.000000,476.000000,209.000000,54.000000,0.626566,16.299999
318.000000,50.000000,559.000000,493.000000,201.000000,54.000000,0.642733,15.100000
321.000000,50.000000,368.000000,516.000000,221.000000,49.000000,0.640642,15.900000
324.000000,50.000000,1187.000000,546.000000,211.000000,48.000000,0.656020,14.400000
327.000000,50.000000,1167.000000,574.000000,232.000000,46.000000,0.680044,11.300000
330.000000,50.000000,1237.000000,607.000000,270.000000,49.000000,0.706538,11.900000
333.000000,50.000000,1259.000000,635.000000,289.000000,47.000000,0.703997,11.799999
336.000000,50.000000,626.000000,633.000000,300.000000,34.000000,0.708284,12.600000
339.000000,50.000000,1265.000000,666.000000,303.000000,41.000000,0.722410,14.500000
342.000000,50.000000,1325.000000,659.000000,300.000000,39.000000,0.717539,12.700000
345.000000,50.000000,1370.000000,623.000000,272.000000,42.000000,0.705391,12.800000
348.000000,50.000000,1363.000000,632.000000,261.000000,39.000000,0.699502,13.500000
351.000000,50.000000,1432.000000,662.000000,265.000000,46.000000,0.704370,10.599999
354.000000,50.000000,1436.000000,673.000000,313.000000,45.000000,0.736571,15.599999
357.000000,50.000000,1453.000000,645.000000,310.000000,53.000000,0.738340,12.700000
